Numara,Başlık,Açıklama,Tarih,Kılavuz Adı,Belge Adı,hasExplanation,Parent Numara,isMain
2.9,muhasebe raporu ayarları,"muhasebe raporuna düşen ödeme hak eden belgeler belirlenen tarihten itibaren, belirlediğiniz frekans değeri kadar gün sonra, belirlediğiniz kullanıcıya otomatik olarak muhasebe raporunun excel kopyası mail yoluyla iletilir rapordaki kayıtlar ödendi olarak işaretlenir.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2,0
2.10,yönetim ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,2,0
2.10.1,belgeler sahipleri tarafından revize edilebilir mi,"öneri, kaizen ramak kala belgelerin sahipleri tarafından revize edilebilmesi amacıyla kullanılır. henüz işlem yapılmamış belgelerin, belge sahibi tarafından revize edilebilmesi aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2.10,0
2.10.2,paydaşlar istatistik hesaplarına dahil olsun,öneri kaizendeki paydaşların istatistkik hesaplarına dahil olması aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2.10,0
2.10.3,ödül kazanabilecek kullanıcı kademelerinin belirlenmesi,ödüllendirme süreçlerine dahil olmasını istediğiniz kademeleri seçebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2.10,0
2.10.4,ret nedeni detayı değiştirilebilir mi,"bir öneri reddedilirken, seçilebilir listeden ret gerekçesi seçilmesi gerekmektedir. bununla birlikte, serbest metin alanına ekstra bir ret açıklaması girilsin istiyorsanız aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2.10,0
2.10.5,görüşü alınacak kişi listesinde departmanı göster,belgeler görüşe gönderilirken açılan kişi seçim listesinde kişi isimlerinin yanında departmanlarını görmek özelliği aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2.10,0
2.10.6,aylık sayılar grafiği anasayfada görünsün,"ay bazlı olarak öneri, kaizen, ramak kala sayılarının gösterildiği minik istatistik kutucuğunun ana sayfada gösterilmesini isterseniz aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2.10,0
2.10.7,kvkk metni düzenleme,kullanıcılara sisteme giriş yaptıklarında bir kvkk formu onaylatmak istiyorsanız ayarı aktif edebilir ardından metninizi tanımlayabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,2.10,0
3,kullanıcı ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,,1
3.1,kullanıcı verilerini dışa aktarma,kullanıcı ayarları ekranının sağ üst kısmında yer alan “seçenekler” butonu altındaki “excel dışa aktar” seçeneği vasıtasıyla sistemde mevcut bulunan kullanıcıların listesini excel formatında dışarı aktarabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,3,0
3.2,kullanıcı verilerini içe aktarma ( toplu kullanıcı yükleme ),"kullanıcı ayarları ekranının sağ üst kısmında yer alan “seçenekler” butonu altındaki “örnek excel i̇ndir” seçeneği vasıtasıyla sisteme yükleyebileceğiniz örnek kullanıcı yükleme formatını indirebilirsiniz. i̇ndirdiğiniz exceldeki verileri, örneklerdekine uygun olarak doldurduktan sonra “excel i̇çe aktar” seçeneğini kullanarak kullanıcıları sisteme aktarabilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,3,0
3.3,yeni kullanıcı ekleme,kullanıcı ayarları ekranının sağ üst kısmında yer alan “kullanıcı ekle” butonu vasıtasıyla sisteme yeni kullanıcı ekleyebilirsiniz. not : super admin yetkisinde iseniz sisteme başka bir super admin ekleyecekseniz yetki seçimini yaptıktan sonra kullanıcının hangi şirket kodlarınızda yetkili olacağını belirleyeceğiniz bir kutucuk belirecektir. buradan şirket seçimlerini yapabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,3,0
3.4,"kullanıcı düzenleme, silme pasif etme, şifre belirleme, şirket değiştirme","kullanıcı listesinde, kullanıcı isimlerinin sol tarafında yer alan dikey üç nokta (...) butonuna tıklayarak ilgili işlemleri yapabileceğiniz menüye erişebilirsiniz. buradaki seçenekleri kullanarak kullanıcıları düzenleyebilir, pasif edebilir, komple sistemden silebilir, yeni şifre belirleyebilir şirketler arasında aktarımını sağlayabilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,3,0
4,duyuru ayarları,"anasayfada bir bileşen olarak göstermek istediğiniz duyuruları, yayında kalmasını istediğiniz tarih aralığını girerek kaydedebilirsiniz. mobil uygulamayı kullanan kullanıcılara, bildirim yoluyla haber verilmesini isterseniz “bildirim gönder” seçeneğini aktif ederek kaydedebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,,1
5,gelişmiş ayarlar,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,,1
5.1,öneri ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5,0
5.1.1,genel öneri ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.1,0
5.1.1.1,maksimum öneri çözüm termin tarihinin sınırlandırılması,"çözüm sorumlusunun, işlem yaptığın günden itibaren maksimum kaç gün sonraya termin verebileceğini sınırlayabilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.2,ön onaycı ekleme,"sisteme girilen önerinin, süreç gözetilmeksizin öncelikle belirli bir onay hiyerarşisinden geçmesini ardından standart akışın çalışmasını isterseniz ön onaycı/onaycılar ekleyebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.3,çözüm sorumlusu termin tarihi güncellesin,"bir öneriye, çözüm sorumlusu tarafından termin tarihi girişi yapıldıktan sonra verinin tekrar güncellenebilmesine izin vermek özelliği aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.4,süreç sorumlusu olarak ilk amir,"sistemin önerilen öneri kabul süreci, sürecin bir sorumlusu olması ilgili süreçlerde girilen önerilerin ilk değerlendirmelerinin, süreç sorumluları tarafından yapılmasıdır. ancak süreç yerine, girilen önerinin ilk değerlendirme kabul işleminin, öneri sahibinin ilk amiri tarafından yapılmasını isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.5,sorumlu değiştirilmesi yönetici onayı,süreç sorumlusu değişim işlemlerinin super adminlerin onayına düşmesi onayın ardından gerçekleşmesini isterseniz ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.6,öneri gizliliği,"öneriler, sadece öneri sahibi, paydaşlar, süreç/çözüm sorumluları -gönderildi ise- görüşü alınan/beklenenler tarafından görüntülensin istiyorsanız ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.7,öneriyi taslak kaydet,kullanıcıların öneri girişlerinin tamamlamadan önce taslak olarak kaydedebilmelerine izin vermek aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.8,öneri anket cevaplama ekranını geç,öneri değerlendirme sürecinde soru seti cevaplanmasını istemiyorsanız ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.9,öneri puanlarını böl,öneri tamamlandığında hakkedilen puanların öneri paydaşlarına bölüştürülmesini istiyorsanız aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.10,öneriye ekstra puan eklenebilir mi?,"öneri tamamlama aşamasında, onay veren süreç sorumlusu tarafından ekstra, manuel puan eklemesi yapılmasını istiyorsanız aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.11,görüş isteme departmanlardan seçilsin,öneriler görüşe gönderilirken açılan listede kullanıcıların adlarıyla listelenmesi yerine sadece departmanların listelenmesi buradan departman seçilerek görüşe gönderilmesi durumunda departman sorumlusu tarafından onay verilmesini istiyorsanız özelliği aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.12,sadece departman sorumlularından görüş iste,öneriler görüşe gönderilirken açılan listede kullanıcıların adlarıyla listelenmesi yerine sadece departman sorumlularının listelenmesini istiyorsanız özelliği aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.13,öneri tamamlanma puanı,bir öneri tamamlandığı anda diğer puanlardan bağımsız olarak sabit bir puan kazanmasını isterseniz alana puan değerini girebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.14,öneri puanlarına öneri kazancı eklensin mi,öneri kazancına dayanan bir formül öneri puanının hesaplanması işaretleyebilir ardından ayarlar penceresiyle formülü düzenleyebilirsin,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.15,"öneri, kaizen olarak sürdürüldüğünde ödeme yapılsın","öneri, kaizen olarak sürdürüldükten sonra ödeme yapılmasını istiyorsanız ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.16,yönetici bilgileri görebilir mi,gizlilik kapsamında görüntülenmeyen bilgileri adminin görmesi ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.17,anket cevaplarını sadece yönetici görebilir,öneri değerlendirilirken cevaplanan soru seti yanıtlarının sadece admin tarafından görüntülenmesi ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.18,görüşleri sadece yönetici görebilir,öneriye gelen görüş/değerlendirmelerin sadece admin tarafından görüntülenmesi ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.19,çözüm sorumluları departman sorumlularından seçilsin,çözüm sorumlusu/uygulayıcı seçimlerinin sadece departman sorumlularından yapılmasını isterseniz ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.20,öneri ödemesi yapıldı öneri sahibi puanlarını görebilir,"önerinin hakettiği puanın, öneri sahibi tarafından, ödeme gerçekleştikten sonra görüntülenebilir olmasını istiyorsanız ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.21,öneri türünü sadece süreç sorumlusu değiştirebilir,"öneri türü bazlı bir ödüllendirme sürecini tercih ettiyseniz durumda öneri girişi esnasında, öneri türünün kullanıcı tarafından seçilmesini istemeyebilirsiniz. durumlarda öneri girişinde öneri türü seçimini gizleyerek ayarı aktif ederseniz, öneri türü sadece süreç sorumlusu tarafından düzenlenebilir olacaktır.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.22,öneri duyuru gösterimi,öneri girişi sırasında çeşitli duyurular bilgilendirmeler yapmak özelliği kullanabilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.23,süreç sorumluları ödül açık,süreç sorumlusu çözüm sorumluları yaptıkları değerlendirme çözüm işlemi puan kazansın istiyorsanız ayarı aktif edebilirsiniz. ayarın aktif olmasının ardından açılacak kutucuklara belirlediğiniz puanları girebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.24,süreç çözüm sorumluları öneri sahibini görebilir,öneri sahibinin sadece süreç çözüm sorumluları tarafından görüntülenebilir olması ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.25,öneri sahibi kendi önerisine yorum yapabilir mi,öneri sahibinin kendi önerisine yorum yapabilir olmasını isterseniz ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.26,öneri listesinde görüş beklenen kişi gözüksün,"öneriler sayfasında görüntülenen listede, önerinin kimlerden görüş beklediğini görüntülemek isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.27,çözüm sorumlularını departmanlardan seç,çözüm sorumlu/uygulayıcı olarak kişi seçimi yerine departman seçerek ilgili departman sorumlusuna atama yapmak ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.28,önerilen çözüm sorumlusu zorunlu seçilsin,"çözüm sorumlusu değişimi talebi sırasında, atanması gereken asıl kişinin mevcut çözüm sorumlusu tarafından belirtilmesini zorunlu kılmak ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.29,sistem yetkilisine gönderilebilir mi,"olası anlaşmazlıklar neticesinde süreçlerin tıkanması durumunda, sürecin ilerleyebilmesi önerinin super admin yetkisindeki kullanıcılara iletilebilmesi aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.30,şampiyon seçim sürecini etkinleştir,not: “bu süreci kullanmak lütfen iletişime geçiniz.”,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.31,görüşü kaizen sorumlusuna gönderebilir,öneriyi görüşe gönderirken “kaizen sistem sorumlusuna gönder” seçeneğinin aktifleşmesi seçenek kullanılarak doğrudan kaizen sistem sorumlusuna görüşe göndermek isterseniz ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.32,çözüm sorumlusu öneriyi reddedebilir mi,"standart akışta, önerinin uygulanabilir olmaması durumlarda, önerinin, çözüm sorumlusu tarafından tekrar süreç sorumlusu kontrolüne gönderilmesi süreç sorumlusu tarafından reddedilmesi önerilmektedir. ancak son adımı atlayarak çözüm sorumlusu tarafından ret işlemi yapılabilsin isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.33,çözüm sorumlusu öneriyi tamamlayabilir mi,"standart akışta, önerinin tamamlanması için, önerinin, çözüm sorumlusu tarafından tekrar süreç sorumlusu kontrolüne gönderilmesi süreç sorumlusu tarafından tamamlanması önerilmektedir. ancak son adımı atlayarak çözüm sorumlusu tarafından tamamlama işlemi yapılabilsin isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.34,admin öneriyi güncelleyebilir mi,"admin super adminler, sahibi olmadıkları önerileri güncelleyebilsin isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.35,süreç sorumlusu öneriyi güncelleyebilir mi,"süreç sorumluları, sorumlusu oldukları önerileri güncelleyebilsin isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.36,öneri güncelleme detayını geçmişte görebilir mi,öneri sahibi yetkisi olan diğer kullanıcılar tarafından düzenlenen bir öneride yapılan değişikliklerin loğlarını göstermek istiyorsanız ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.37,öneri sahibi kaizen oluşturabilir mi,"öneri tamamlandıktan sonra sahibi tarafından kaizene dönüştürülebilsin istiyorsanız ayarı aktif edebilirsiniz. not: öneri tamamlanırken kaizen olarak sürdür seçildiyse öneri, ""kaizen oluşturulmayı bekliyor"" statüsüne düşer. ayar açıksa öneri sahibi ""öneriden kaizen oluştur"" diyerek kaizen oluşturabilir.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.38,birden fazla kişiden görüş istenebilir mi,öneriyi paralel olarak birden fazla kişiye görüş almak göndermek isterseniz ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.39,tek süreç sorumlusu varsa süreç otomatik atansın,"süreçler birden fazla öneri sorumlusu atanabilir. durumlarda süreç sorumluları, sorumlu oldukları süreçlerden işlem yapmak istedikleri önerileri “süreci tarafıma ata” seçeneğini kullanarak önerileri devralabilirler. fakat bir süreç tek süreç sorumlusu olduğu durumlarda “süreci tarafıma ata” seçeneğini devre dışı bırakarak doğrudan ilgili süreç sorumlusuna atansın isterseniz ayarı aktif edebilirsin.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.40,"süreç sorumlusu, çözüm sorumlusu olmadan öneriyi tamamlayabilir","durumlarda, önerilerin çözüm sorumlusuna atanmadan tamamlanması durumlar söz konusu olabilir. durumlarda, öneri, çözüm sorumlusu atanmadan, süreç sorumlusu tarafından tamamlansın isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.41,öneri detay sayfasında ödeme geçmişi görüntülenebilir mi,"öneriye yapılan ödemeye dair detayların, öneri detay sayfasında görüntülenmesini isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.42,öneri tamamlanması geri alınabilir mi,"tamamlanmış bir öneriyi tekrar sıfırdan işlemek isterseniz ayarı aktif edebilirsiniz. ayarın açılmasının ardından, süreç sorumluları tarafından tamamlanmış öneriler, seçenekler kısmına gelen “tamamlamayı geri al” butonunu tıklayarak geri alınabilir.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.43,ret gerekçesi öneri durumunda görünsün,"reddedilmiş bir önerinin ret gerekçesi, öneri durumu kısmında gösterilsin isterseniz ayarı aktif edebilirisiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.44,açık aksiyon varken öneri üzerinde işlem yapılabilir mi,"öneriye ait kapanmamış aksiyon ( sistem, qdms beam ) varken herhangi bir işlem yapılamasın isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.1.45,öneri değerlendirme kılavuzu,"önerilerin, seçilen akışa bağlı olarak süreç sorumlusu, ilk amir kurul üyelerinin cevapladığı soru setlerini, anketleri doğru bir şekilde yanıtlamaları sağlamak maksadıyla ekranın üst kısmına çeşitli dokümanlar yerleştirmek isterseniz kısımdan yükleme yapabilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.1,0
5.1.2,sistem mail ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.1,0
5.1.2.1,değerlendirme hatırlatma maili,"önerilere görüş bildirmek üzere atadığınız kullanıcılara, belirlediğiniz günlerde hatırlatma mailleri atılsın isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.2,0
5.1.2.2,termin belirleme gecikme maili,"çözüm sorumlusu olduğu önerilerin termin tarihi belirleme işlemini geciktiren kullanıcılara, belirlediğiniz günlerde hatırlatma mailleri atılsın isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.2,0
5.1.2.3,çalışılıyor termin tarihi maili,çözüm sorumlusu olduğu önerilerin termin tarihlerinin 2/3 ü tamamlanan kullanıcılara hatırlatma mailleri atılsın isterseniz ayarı aktif edebilirsiniz.,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.2,0
5.1.2.4,çalışılıyor termin tarihi gecikme maili,"çözüm sorumlusu olduğu önerilerin termin tarihlerini geciktiren kullanıcılara, belirlediğiniz günlerde hatırlatma mailleri atılsın isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.2,0
5.1.3,kurul onayı ayarları,,01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,0,5.1,0
5.1.3.1,kurul onayı aktif / pasif etme,"önerilerin kurul onayına gönderilmesi aktif edebilirsiniz. ayarı aktif ettikten sonra “kullanıcı grupları” ayarlarından kurullarınızı tanımlayabilirsiniz. ayarı aktif ettikten sonra açılan ilk kutucuktan varsayılan kurul üyeleri atayabilir, 2. kutucuktan kaç kurul üyesinin onayı neticesinde önerinin onaylanabileceğini belirleyebilirsiniz",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.3,0
5.1.3.2,dinamik kurul üyesi ekleme,"öneri kurula gönderilirken, öneri bazlı olarak farklı farklı kurul üyeleri atamak isterseniz ayarı aktif edebilirsiniz.",01.02.2024,Sürekli İyileştirme Çözümü Yönetici Ayarları,kılavuz ayarlar1 2,1,5.1.3,0
